Review,Rating,One-word Review,Product ID
"Design 10/8
Sound 10/7
Speed charge 10/10 (35 minutes full charge)
Camera quality 10/8
Weight 10/9 (179 g)
Overall 👌",4,Good choice,MOBGFPE5BHY8QGEH
Camera is tooo good 😊,5,Just wow!,MOBGFPE5BHY8QGEH
Very good mobile,5,Just wow!,MOBGFPE5BHY8QGEH
Superb design n working fast.love it,4,Very Good,MOBGFPE5BHY8QGEH
"Good phone with superb camera, less battery life😉",4,Worth the money,MOBGFPE5BHY8QGEH
Lovely osm,4,Very Good,MOBGFPE5BHY8QGEH
"Very nice oppo reno 8 5G phone ,picture quality is very awesome .thanks flipkart",5,Must buy!,MOBGFPE5BHY8QGEH
Nice phone...back camera excellent front camera decent battery ok,5,Wonderful,MOBGFPE5BHY8QGEH
"Oppo Reno 8 5G
Best phone under this price range
Camera quality is awesome
Battery is draining little bit faster but charging is super fast
Performance is good
And the look is stunning
Ovarall it's a good budget friendly phone",5,Simply awesome,MOBGFPE5BHY8QGEH
"This phone review is useful only camera centric customers only .... onderful Sony sensors .... Samples speaks a lot than my words ... Software upgradation will boost camera stabilization and performance a lot ... Am impressed... Low light performance is amazing .... Awesome Flipkart deals and offers quick delivery. Decent Battery backup for whole day , super fast Charing, No heating issues.",5,Great product,MOBGFPE5BHY8QGEH
Phone is best and camera is good osam but betry sholud be 5000mah . Well all thing is good and if front camera is on ponchol in midle top. That was best. But in corner front camera is not good. All thimg is best. Clour. Best. Display best.,5,Classy product,MOBGFPE5BHY8QGEH
Nice mobile looking good,5,Wonderful,MOBGFPE5BHY8QGEH
Good product,5,Classy product,MOBGFPE5BHY8QGEH
It's definitely awesome.,5,Brilliant,MOBGFPE5BHY8QGEH
"I got this Beauty exchanging my old 3 yrs old Phone, must say I got a very good exchange rate.

Old Phone was taking 2 hrs to charge but oppo Reno 8 Just takes 35 mins to full charge.
Camera is best in class and smooth in performance.",4,Worth the money,MOBGFPE5BHY8QGEH
"This phone is just awesome loved it...👍
highly recommend.
If u want to buy all good fractures in one phone u can go with Oppo Reno 8...",5,Excellent,MOBGFPE5BHY8QGEH
Best premium quality Phone 😀,4,Wonderful,MOBGFPE5BHY8QGEH
Nice product camera is to good battery backup is good not a awesome and fast delivery thanks to Flipkart,5,Just wow!,MOBGFPE5BHY8QGEH
"awesome look , excellent features, more than a FLAGSHIP mobile",5,Wonderful,MOBGFPE5BHY8QGEH
Night mode camera pic very nice,5,Best in the market!,MOBGFPE5BHY8QGEH
This phone specially for camera lover but Battery backup not good as i expect.Portrait mode is Loving,5,Brilliant,MOBGFPE5BHY8QGEH
It's awesome,5,Fabulous!,MOBGFPE5BHY8QGEH
"This phone is absolutely excellent
Camera 📷 is super
Display is very bright
And performance is great
Camera module is very big and very beautiful",5,Just wow!,MOBGFPE5BHY8QGEH
Oppo reno 8 looking design is so amazing. Camera is awesome like DSLR.Performance is well But display should be improve.,5,Great product,MOBGFPE5BHY8QGEH
"Phone is very good.its looks & feel premium , Excellent phone 🙂 mind-blowing camera really superb camera quality 🥰 great in hand feeling really great product ty oppo🤗",5,Best in the market!,MOBGFPE5BHY8QGEH
The phone is the ultimate killer in every area. I like this phone 🤳,5,Just wow!,MOBGFPE5BHY8QGEH
Very good,4,Value-for-money,MOBGFPE5BHY8QGEH
"Awesome ,very nice, I am impressed this phone",5,Wonderful,MOBGFPE5BHY8QGEH
Excellent,4,Delightful,MOBGFPE5BHY8QGEH
Fulli DSLR like photo shoot,5,Super!,MOBGFPE5BHY8QGEH
Superb camera 📷,5,Must buy!,MOBGFPE5BHY8QGEH
"Very nice phone
Camara results very nice
Battery capacity more than one day
Charging speed very fast
Thanks Flipkart team very fast delivery
My old mobile exchange good price",5,Fabulous!,MOBGFPE5BHY8QGEH
Charging drain fast camera quality Low heating issues,4,Very Good,MOBGFPE5BHY8QGEH
"Display ---
90hz but we'll optimised , HDR support, fluid
Camera---
Flagship Sony sensors front and back, excellent quality
Builld--ok
Sound-- clear and crisp but should give stereo and Dolby
Performance-- very good
Constant 60fps pubg , gyro-smooth, zero lags
Battery- for gamers backup is 4hrs, (need
improvement)
heavy users- 6hrs
Normal user-full working day",5,Terrific,MOBGFPE5BHY8QGEH
Over all phone is excellent but battery 🔋mh can be much more better,5,Perfect product!,MOBGFPE5BHY8QGEH
"(1) camera 5/5 portrait mode is lit but selfie is avg.
(2)display 4.5/5
(3) battery 5/5 full charge in 25 min but drain bit fast
(4) price is slightly heavy I think
(5) looks are premium and phone feels so handy
(6) I am not a gamer so not test any game in this phone
(7) 90 hz refresh rate is slight downgrade",5,Wonderful,MOBGFPE5BHY8QGEH
Nic mobile and fast charging.. camera is awsome,5,Worth every penny,MOBGFPE5BHY8QGEH
Good phone,5,Simply awesome,MOBGFPE5BHY8QGEH
Worth every penny.,5,Worth every penny,MOBGFPE5BHY8QGEH
"Too much Light weight mobile, super shiny back, comfortable hand feelings and Awesome super cool cameras",5,Must buy!,MOBGFPE5BHY8QGEH
Your product is very good but your delivery boy behaviour is very bad and rudely,5,Slightly disappointed,MOBGFPE5BHY8QGEH
"Excellent Performance Camera, Display, Battery, Processors",5,Awesome,MOBGFPE5BHY8QGEH
Adorable,5,Must buy!,MOBGFPE5BHY8QGEH
Very nice mobile,5,Fabulous!,MOBGFPE5BHY8QGEH
Good,5,Mind-blowing purchase,MOBGFPE5BHY8QGEH
The phone is very comfortable and its camera is awesome. I love this product. This is a nice phone.,5,Great product,MOBGFPE5BHY8QGEH
Nice mobile ....fast charging....battery back up also good...,4,Pretty good,MOBGFPE5BHY8QGEH
Very nice shot clicked by phone .,5,Awesome,MOBGFPE5BHY8QGEH
"Camera is excellent .sound is average.it could include dual speaker,some unique function of this mobile can be seen.lots of blotware,battery is quite good,if u looking for agood camera then go for it",5,Just wow!,MOBGFPE5BHY8QGEH
"Pros
1. 80w fast charging superb
In 30+min 100% charging
2.Face unlock and fingerprint good responce
3.Weight less
4.Nice TPU back cover
Cons
1.Stero speaker missing
2.Screen refresh rate 90Hz only (if 120Hz - good)
3.Camer optimization needed little bit to enhance the quality",5,Awesome,MOBGFPE5BHY8QGEH
Excellent camara 😀,4,Pretty good,MOBGFPE5BHY8QGEH
"Fast charging 100 percentage only 30 minute
Slow motion no best performance charging backup 8 year only 50 megapixel camera best quality front camera best quality",4,Nice product,MOBGFPE5BHY8QGEH
"After 2days of use here is my review..
1. Camera...
If you are looking for camera purpose phone in this prise range I would say you go for vivo v23 or one plus nord 2t or vivo t1 pro

2. Battery...
Battery performance is good 5star for that

3. Look...
I find look is very good but little bit heavy feeling for hand as compared to vivo v23 and one plus nord 2t

4. Speed...
Speed is very good..no doubt at all

Overall good buying for me as i got great discount as well exchange on old mobile",5,Terrific,MOBGFPE5BHY8QGEH
Camera Stability is good moving pictures are good algorithm works great,5,Simply awesome,MOBGFPE5BHY8QGEH
Mostly I liked the camera quality.,4,Value-for-money,MOBGFPE5BHY8QGEH
Camera quality is very good I'm very happy😘😘😘,5,Fabulous!,MOBGFPE5BHY8QGEH
Super all performance,5,Brilliant,MOBGFPE5BHY8QGEH
The quality of screen and performance of the processor is quite better than other phones in this segment. The camera also works marvelously in 50mp mode. I just think the phone is over priced.,4,Value-for-money,MOBGFPE5BHY8QGEH
"Honestly, u need reviews. I searched for close to 6 months for my new phone and every phone was having not exact features or the reviews were poor. But this phone, Camera, display, sound, charging.... All 5/5. Only thing battery isn't that big.. but it will give a full day. I am not a gamer. For clicking clear natural images, for videos, entertainment, this phone is wow. I had wished for a larger size. But this is also okay okay. Go for it when in offer, Flipkart and oppo offer extra on excha...
READ MORE",5,Great product,MOBGFPE5BHY8QGEH
superrrrr,5,Classy product,MOBGFPE5BHY8QGEH
It's Really very very Good Option (Reno8 ).... camera good and prosser excellent.,5,Highly recommended,MOBGFPE5BHY8QGEH
Nice Phone. Camara is too good.,5,Wonderful,MOBGFPE5BHY8QGEH
"Display is good but not too much impressive expecting 120hz
Charging speed is fast charge within 35 to 38 min",4,Really Nice,MOBGFPE5BHY8QGEH
"Its my first purchases in oppo phone 📱 and I'm so happy 😊 purchased this phone really awesome awesome
Valueable money phone",4,Very Good,MOBGFPE5BHY8QGEH
camera quality is good but bettery draining quickly overall is good phone,4,Worth the money,MOBGFPE5BHY8QGEH
Oppo Reno 8 is great ❤️,5,Just wow!,MOBGFPE5BHY8QGEH
"Best camera phone under this price,I liked it very much good product from OPPO",5,Mind-blowing purchase,MOBGFPE5BHY8QGEH
Very good camera!!,5,Worth every penny,MOBGFPE5BHY8QGEH
As well as good,5,Excellent,MOBGFPE5BHY8QGEH
Awesome phone,5,Perfect product!,MOBGFPE5BHY8QGEH
Excellent 👌👌👌,5,Brilliant,MOBGFPE5BHY8QGEH
"Nice Camera Phone.
Performance is very Nice!
Battery charging speed very fast. Looking very nice finally Oppo Made a smarter which is completely balance in all aspects Firstly Thanks to Flipkart For Repeatedly Excellent Service",5,Brilliant,MOBGFPE5BHY8QGEH
"Great Phone 😍
Future also Good
But There is something What making Unhappy that Battery life Is Not Good It's Down in 1 Day Of Normal Use but In only 30 mint it get fullcharge Overall The Best phone.....
It's my first experience with the Oppo But i like
And Shimmer Gold Color Is Also Too pretty and attractive.😍😍
Camera is Also Best.
Overall Value for Money.",5,Wonderful,MOBGFPE5BHY8QGEH
Best camera experience.,5,Classy product,MOBGFPE5BHY8QGEH
Awesome phone it's this price,5,Classy product,MOBGFPE5BHY8QGEH
"The mobile is good but should be better considering price. I have experienced heating issue. Camera is good in lightening condition. I will recommend only when with good discount and exchange offer is applicable.
Overall looks and display is good.",4,Nice product,MOBGFPE5BHY8QGEH
"Just superb, Light weight and stylish i will give a detailed review after 1 month",5,Brilliant,MOBGFPE5BHY8QGEH
"1 good look
2 good camera
3 good performance
4 battery not bad just ok
Overall it was a great phone go for it",5,Must buy!,MOBGFPE5BHY8QGEH
